score,num,name
7.6,1135,SAINT JAMES ALBANY PARIS HOTEL SPA
8.1,816,Citadines Prestige Les Halles Paris
8.7,300,Buddha-Bar Hotel Paris
8.2,677,Holiday Inn Paris Notre Dame
7.7,977,Best Western Trianon Rive Gauche
8.5,573,Newhotel Roblin
8.4,923,Le Mathurin
8.3,226,L'Empire Paris
8.0,542,"Hotel Du Louvre, a Hyatt Hotel"
7.9,534,Best Western Premier Louvre Saint-Honoré
9.1,468,Le Burgundy Paris
8.8,129,Grand Hôtel Du Palais Royal
7.2,795,France Louvre
8.4,233,Résidence & Spa Le Prince Régent
7.6,107,Streets Hotel by Murano
8.4,544,Best Western Premier Opera Diamond
8.9,26,Park Hyatt Paris Vendome
8.8,379,Hôtel Marignan Paris
8.2,1516,Novotel Paris Gare De Lyon
8.5,467,Best Western Premier Hotel Opéra Richepanse
8.4,610,Hotel Basile
8.2,149,Relais Hôtel du Vieux Paris
8.4,346,Hotel Scribe Paris managed by Sofitel
8.2,380,Hôtel Duo
8.0,789,Hôtel Delavigne
8.3,421,Grand Hotel Saint Michel
7.8,546,Crowne Plaza Paris République
8.2,487,Mathis Elysées Matignon
8.3,382,Hôtel le Clos de Notre Dame
7.5,251,Hôtel des Ducs D'Anjou
7.8,583,Turenne Le Marais
8.0,201,Hôtel Westminster
8.3,231,Residence Du Roy
8.1,370,Holiday Inn Paris Opéra - Grands Boulevards
8.6,383,Le Pradey
8.4,173,Royal Saint Honore
8.3,1544,Hotel Alhambra
7.9,319,Les Jardins Du Marais
7.9,652,Holiday Inn Paris Saint Germain des Prés
8.8,198,Hôtel Madison
7.8,1093,Concorde Montparnasse
8.1,1332,Hotel Minerve
7.9,844,Pulitzer Paris
8.2,421,Rochester Champs Elysees
8.5,210,MARAIS HÔme (ex Hô Marais)
8.4,275,Aiglon
8.1,1230,Libertel Gare Du Nord Suede
8.3,308,Hotel Eugène en Ville
7.4,171,Hotel Bersolys Saint-Germain
7.4,200,Hotel Claude Bernard Saint-Germain
8.0,597,Hotel Elysa-Luxembourg
8.4,278,Banke Hôtel
7.7,2275,Mercure Paris Terminus Nord
7.6,1215,Hotel Choiseul Opera
7.9,731,Hotel Louvre Bons Enfants
7.9,334,Hotel Saint Honore
7.5,300,Hôtel du Palais Bourbon
8.1,282,Hotel Marriott Paris Opera Ambassador
8.5,528,Best Western Premier Hotel L'Horset Opera
8.2,449,Best Western La Tour Notre Dame Saint Germain des Près
8.2,130,Hotel Cambon
8.3,615,Hôtel De Fleurie
7.8,221,Best Western Premier Opéra Faubourg (Ex Hotel Jules)
7.7,821,Libertel Austerlitz Jardin des Plantes
8.5,334,Best Western Premier Faubourg 88
8.1,153,Hotel Athenee
8.3,214,Dauphine Saint Germain
7.8,959,Mercure Paris Gare De Lyon
8.5,453,Hôtel du Triangle d'Or
8.7,408,Hôtel Elysees Mermoz
8.4,222,Hôtel du Ministère
8.6,231,La Maison Champs Elysées
7.7,351,Best Western Premier Elysée Secret
